
#,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,PB,DIST,DIST_DM,PSR,R_LUM,R_LUM14,AGE,TYPE,
111,J0211-8159,J0211-8159,02:11:59.0,-81:59:36.2,,,1.077333,2.90e-16,0.928218,-2.499e-16,,6.00,0.30,,,,1.523,1.523,,1.39e+01,6.96e-01,5.89e+07,
112,J0212+5222,J0212+5222,02:12:52.1,+52:22:49.5,,,0.376386,6.60e-15,2.656844,-4.658e-14,,4.10,0.90,,,,1.558,1.558,,9.95e+00,2.18e+00,9.04e+05,
113,J0214+5222,J0214+5222,02:14:55.2,+52:22:40.9,,,0.024575,2.99e-19,40.691272,-4.951e-16,,0.90,,,BT,512.0397,1.161,1.161,,1.21e+00,,1.30e+09,
114,J0215+6218,J0215+6218,02:15:56.6,+62:18:33.3,,,0.548880,6.62e-16,1.821892,-2.198e-15,3.200e-26,14.50,3.70,,,,2.004,2.004,,5.82e+01,1.49e+01,1.31e+07,
115,J0218+4232,J0218+4232,02:18:06.3,+42:32:17.3,5.350,-3.740,0.002323,7.74e-20,430.461055,-1.434e-14,2.800e-26,47.00,0.90,,ELL1,2.0288,3.150,2.928,HE[khvb98,aaa+09f],4.66e+02,8.93e+00,4.76e+08,
116,J0220+3626,J0220+3626,02:20:42.1,+36:26:55.7,,,1.029700,,0.971157,,,,,,,,2.240,2.240,,,,,
117,J0229+20,J0229+20,02:29:03,+20:58,,,0.806900,,1.239311,,,,,,,,2.089,2.089,,,,,
118,B0226+70,J0231+7026,02:31:13.9,+70:26:33.8,,,1.466820,3.11e-15,0.681747,-1.445e-15,1.900e-28,2.40,0.30,,,,1.755,1.755,,7.39e+00,9.24e-01,7.47e+06,
119,J0241+16,J0241+16,02:41:46,+16:04,,,1.545400,,0.647082,,,,,,,,0.936,0.936,,,,,
120,J0242+62,J0242+62,02:42:35,+62:56:50,,,0.592000,,1.689189,,,,,,,,0.217,0.217,,,,,
121,J0243+6027,J0243+6027,02:43,+60:27,,,1.473000,,0.678887,,,,,,,,2.717,2.717,,,,,
122,J0244+14,J0244+14,02:44:51,+14:27,,,2.128100,,0.469903,,,,,,,,2.796,2.796,,,,,
123,J0248+4230,J0248+4230,02:48:31.0,+42:30:20.4,,,0.002601,1.69e-20,384.491935,-2.494e-15,,,,,,,1.853,1.853,HE[brj+21],,,2.44e+09,
124,J0248+6021,J0248+6021,02:48:18.6,+60:21:34.7,48.000,48.000,0.217094,5.51e-14,4.606300,-1.169e-12,,,13.70,,,,2.000,25.000,HE[tpc+11],,5.48e+01,6.24e+04,
125,J0250+5854,J0250+5854,02:50:17.7,+58:54:01.3,,,23.535378,2.72e-14,0.042489,-4.903e-17,,,0.00,,,,1.558,1.558,,,9.71e-03,1.37e+07,
126,J0251+2606,J0251+2606,02:51:02.5,+26:06:09.9,17.000,,0.002542,7.57e-21,393.460010,-1.172e-15,,,,,ELL1,0.2024,1.170,1.170,HE[cck+16],,,5.32e+09,
127,B0254-53,J0255-5304,02:55:56.2,-53:04:21.2,25.000,7.000,0.447708,3.13e-17,2.233596,-1.561e-16,,17.00,5.00,,,,1.514,1.514,,3.90e+01,1.15e+01,2.27e+08,
128,J0301+35,J0301+35,03:01,+35,,,0.146800,,6.811989,,,,,,,,3.100,3.100,,,,,
129,J0302+2252,J0302+2252,03:02:31.9,+22:52:12.1,,,1.207165,8.25e-17,0.828387,-5.661e-17,,70.00,,,,,1.014,1.014,,7.20e+01,,2.32e+08,
130,B0301+19,J0304+1932,03:04:33.1,+19:32:51.4,6.000,-37.000,1.387584,1.30e-15,0.720677,-6.727e-16,-2.450e-27,27.00,15.10,,,,0.739,0.739,,1.47e+01,8.25e+00,1.70e+07,
131,J0305+11,J0305+11,03:05:06,+11:23,,,0.862100,,1.159958,,,,,,,,1.838,1.838,,,,,
132,J0307+7443,J0307+7443,03:07:55,+74:43:12,,,0.003160,,316.455696,,,0.30,,,,,0.386,0.386,HE[hrm+11,fermi21],4.47e-02,,,
133,J0312-0921,J0312-0921,03:12:06.2,-9:21:56,,,0.003704,1.97e-20,269.978402,-1.437e-15,,,,,BT,0.0975,0.817,0.817,HE[trr+21,fermi21],,,2.98e+09,
134,J0317+13,J0317+13,03:17:54,+13:29,,,1.974300,,0.506509,,,,,,,,0.366,0.366,,,,,
135,J0318+0253,J0318+0253,03:18:15.5,+02:53:01.4,,,0.005190,1.76e-20,192.683716,-6.540e-16,,,0.01,,,,1.328,1.328,HE[wlz+18],,1.94e-02,4.67e+09,
136,B0320+39,J0323+3944,03:23:26.6,+39:44:52.4,26.500,-30.770,3.032072,6.36e-16,0.329807,-6.914e-17,6.700e-29,34.00,0.90,,,,0.952,1.197,,3.08e+01,8.16e-01,7.56e+07,
